-1.000000000000000021e-03,2.313100000000000364e+03
-2.000000000000000042e-03,2.168500000000000000e+03
-3.578947368421052638e-03,2.129800000000000182e+03
-6.157894736842105254e-03,2.077699999999999818e+03
-8.736842105263157438e-03,2.009000000000000000e+03
-1.131578947368421136e-02,2.000100000000000136e+03
-1.389473684210526354e-02,1.927000000000000000e+03
-1.647368421052631399e-02,1.878000000000000000e+03
-1.905263157894736964e-02,1.828000000000000000e+03
-2.163157894736842182e-02,1.796799999999999955e+03
-2.421052631578947401e-02,1.701099999999999909e+03
-2.678947368421052619e-02,1.686500000000000000e+03
-2.936842105263157837e-02,1.618399999999999864e+03
-3.194736842105262709e-02,1.543199999999999818e+03
-3.452631578947368274e-02,1.475400000000000091e+03
-3.710526315789473839e-02,1.360799999999999955e+03
-3.968421052631578710e-02,1.306300000000000182e+03
-4.226315789473684276e-02,1.205799999999999955e+03
-4.484210526315789841e-02,1.090599999999999909e+03
-4.742105263157894712e-02,9.830000000000000000e+02
-5.000000000000000278e-02,8.737000000000000455e+02
